Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S122972423,Black-crested Bulbul,Rubigula flaviventris,24639,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Whiskered Yuhina,Yuhina flavicollis,25529,8,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Himalayan Cutia,Cutia nipalensis,26426,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Striped Laughingthrush,Trochalopteron virgatum,26450,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Blue-winged Minla,Actinodura cyanouroptera,26538,8,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Silver-eared Mesia,Leiothrix argentauris,26571,7,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,H,5,
S122972423,Fire-breasted Flowerpecker,Dicaeum ignipectus,30090,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Mrs. Gould's Sunbird,Aethopyga gouldiae,30522,1,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Green-tailed Sunbird,Aethopyga nipalensis,30528,1,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122972423,Little Bunting,Emberiza pusilla,32830,3,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,19/11/2022,7:25 am,eBird - Traveling Count,73,1,1,,2,,S,5,
S122973578,Wedge-tailed Green-Pigeon,Treron sphenurus,2567,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
S122973578,Great Barbet,Psilopogon virens,10721,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
S122973578,Ashy Drongo,Dicrurus leucophaeus,20442,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
S122973578,Grey Treepie,Dendrocitta formosae,21444,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
S122973578,Pygmy Cupwing (Pygmy Wren-Babbler),Pnoepyga pusilla,23989,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
S122973578,Black-crested Bulbul,Rubigula flaviventris,24639,2,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,19/11/2021,7:23 am,eBird - Traveling Count,62,1,1,,5,,,"TVSU Reserve (Transect 1) November21  Jona, Alemba, Shekhum, Ramya",
